Album ID,Album,Release Year,Producers,Genre,Spotify Album
1,Queen,1973,"Queen, Roy Baker, John Anthony",Hard Rock,5SSpz2RyyEhLt5FDymT4Ph
2,Queen II,1974,"Queen, Roy Baker, Robin Cable",Hard Rock,2RKEso6nin3nhRyAd36Omv
3,Sheer Heart Attack,1974,"Queen, Roy Baker",Hard Rock,5CooX2xg5YibepSfjbRFNT
4,A Night At The Opera,1975,"Queen, Roy Baker",Hard Rock,75eP8LZolyNBpqIRyB5pvB
5,A Day At The Races,1976,Queen,Hard Rock,3f45rzbU4dYQBTV9v5RFBB
6,News of the World,1977,Queen,Hard Rock,3TKTjR4E3LAMfRsPeRsNhT
7,Jazz,1978,"Queen, Roy Baker",Hard Rock,5X3rA8To5GDOeIWdQyMEcE
8,The Game,1980,"Queen, Reinhold Mack ",Pop Rock,1h0j80HhdzIMsUGUFiVkqa
9,Flash Gordon,1980,"Queen, Reinhold Mack, Brian May",Pop Rock,2SS9qutxzz0XZf4zmoQVdx
10,Hot Space,1982,"Queen, Reinhold Mack ",Pop Rock,0fZCqpTHYq2k89uG6pPTYE
11,The Works,1984,"Queen, Reinhold Mack ",Pop Rock,0FbnXAGmgmWBmNthZSgm43
12,A Kind of Magic,1986,"Queen, Reinhold Mack ",Pop Rock,34xBXeJgmQrn1wQvhyVCsw
13,The Miracle,1989,"Queen, David Richards",Pop Rock,1v5l2sZRE5Rweew5PoNFP9
14,Innuendo,1991,"Queen, David Richards",Hard Rock,5yAM3CcaXF6DPRJW3oL6Ya
15,Made in Heaven,1995,"Queen, David Richards, Justin Shirley-Smith, Joshua J. Macrae",Pop Rock,2SFIh6siY4KYBNPHAV7xaI
